# Nuvio recommendations — aggregated from every profile's watchlist and watch history
# Engine: TMDB recommendations (https://www.themoviedb.org)
# Last generated: 2026-07-20T16:03:32Z
# content_id	content_type	name	because you watched
tt8300324	series	I AM A KILLER	American Manhunt: O.J. Simpson, Betrayal, Crime Scene: The Texas Killing Fields (+21 more)
tt22646714	series	Killer Sally	American Manhunt: O.J. Simpson, Betrayal, Crime Scene: The Texas Killing Fields (+17 more)
tt21946032	series	Conversations with a Killer: The Jeffrey Dahmer Tapes	American Manhunt: O.J. Simpson, Betrayal, Crime Scene: The Texas Killing Fields (+16 more)
tt13263106	series	Murder on Middle Beach	Crime Scene: The Texas Killing Fields, Crime Scene: The Times Square Killer, Desperately Seeking Soulmate: Escaping Twin Flames Universe (+16 more)
tt1934673	series	Homicide Hunter: Lt Joe Kenda	American Manhunt: O.J. Simpson, Crime Scene: The Texas Killing Fields, Crime Scene: The Times Square Killer (+15 more)
tt7935522	series	Drug Lords	Betrayal, Death in Apartment 603: What Happened to Ellen Greenberg?, Desperately Seeking Soulmate: Escaping Twin Flames Universe (+14 more)
tt0103396	series	Dateline	American Manhunt: O.J. Simpson, Crime Scene: The Texas Killing Fields, Crime Scene: The Times Square Killer (+13 more)
tt6439562	series	Mind Field	Betrayal, Dancing for the Devil: The 7M TikTok Cult, Death in Apartment 603: What Happened to Ellen Greenberg? (+12 more)
tt6772336	series	Fear Factor	90 Day Fiancé, 90 Day Fiancé: Before the 90 Days, 90 Day Fiancé: Happily Ever After? (+12 more)
tt0914829	series	Bad Girls Club	90 Day Fiancé, 90 Day Fiancé: Before the 90 Days, 90 Day Fiancé: Love in Paradise (+12 more)
tt30412869	series	56 Days	A Good Girl's Guide to Murder, Cape Fear, Dexter: New Blood (+11 more)
tt31556143	series	Homicide	American Manhunt: O.J. Simpson, Crime Scene: The Texas Killing Fields, Crime Scene: The Times Square Killer (+11 more)
tt1720601	series	The Real Housewives of Beverly Hills	90 Day Fiancé, 90 Day Fiancé: Before the 90 Days, 90 Day Fiancé: Happily Ever After? (+11 more)
tt11794812	series	Cross	A Good Girl's Guide to Murder, Cape Fear, Dexter: New Blood (+10 more)
tt13366604	series	Platonic	American Dad!, Animal Control, Human Resources (+10 more)
tt10813648	series	Ghost Nation	90 Day Fiancé, 90 Day Fiancé: Before the 90 Days, 90 Day Fiancé: Love in Paradise (+9 more)
tt5396394	series	American Housewife	Arrested Development, Bob's Burgers, Deep Fake Neighbour Wars (+9 more)
tt34169767	series	Cold Case: Who Killed JonBenét Ramsey	American Manhunt: O.J. Simpson, Crime Scene: The Texas Killing Fields, Crime Scene: The Times Square Killer (+9 more)
tt7406320	series	Eli Roth's History of Horror	Betrayal, Death in Apartment 603: What Happened to Ellen Greenberg?, Desperately Seeking Soulmate: Escaping Twin Flames Universe (+9 more)
tt5489746	series	Evil Lives Here	Crime Scene: The Times Square Killer, Don't F**k with Cats: Hunting an Internet Killer, Most Evil (+8 more)
tt33473000	series	Sean Combs: The Reckoning	American Manhunt: O.J. Simpson, Betrayal, Dancing for the Devil: The 7M TikTok Cult (+8 more)
tt5611024	series	Fool Me Once	A Good Girl's Guide to Murder, Cape Fear, Dexter: Original Sin (+8 more)
tt11823076	series	Tiger King	Betrayal, Dancing for the Devil: The 7M TikTok Cult, Don't F**k with Cats: Hunting an Internet Killer (+8 more)
tt15723914	series	Catching Killers	Crime Scene: The Texas Killing Fields, Crime Scene: The Times Square Killer, Don't F**k with Cats: Hunting an Internet Killer (+8 more)
tt31019484	series	Missing You	A Good Girl's Guide to Murder, Cape Fear, Dexter: New Blood (+8 more)
tt0163503	series	Top Gear	Bring Me the Beauties: A Model Cult, Capturing Their Killer: The Girls on the High Bridge, Chimp Crazy (+7 more)
tt4687880	series	Goliath	All's Fair, Better Call Saul, Cape Fear (+7 more)
tt27142031	series	American Manhunt: The Boston Marathon Bombing	American Manhunt: O.J. Simpson, Crime Scene: The Texas Killing Fields, Desperately Seeking Soulmate: Escaping Twin Flames Universe (+7 more)
tt1874066	series	Paranormal Witness	Bring Me the Beauties: A Model Cult, Capturing Their Killer: The Girls on the High Bridge, Chimp Crazy (+7 more)
tt7889220	series	Dirty Money	Betrayal, Dancing for the Devil: The 7M TikTok Cult, Death in Apartment 603: What Happened to Ellen Greenberg? (+7 more)
tt0247144	series	Yes, Dear	Arrested Development, Bob's Burgers, Frasier (+7 more)
tt28104766	series	Squid Game: The Challenge	90 Day Fiancé, 90 Day Fiancé: Before the 90 Days, 90 Day Fiancé: Love in Paradise (+7 more)
tt14403178	series	BEEF	DTF St. Louis, Hacks, Kevin Can F**k Himself (+6 more)
tt0098830	series	In Living Color	Deep Fake Neighbour Wars, It's Always Sunny in Philadelphia, Life, Larry and the Pursuit of Unhappiness: an Almost History of America (+6 more)
tt0773264	series	Tyler Perry's House of Payne	Arrested Development, Bob's Burgers, Deep Fake Neighbour Wars (+6 more)
tt41508977	series	Hulk Hogan: Real American	Dancing for the Devil: The 7M TikTok Cult, Death in Apartment 603: What Happened to Ellen Greenberg?, History 101 (+6 more)
tt2850386	movie	The Croods: A New Age	Cars, Elemental, Hoppers (+6 more)
tt0072519	series	The Jeffersons	Arrested Development, Brooklyn Nine-Nine, Frasier (+6 more)
tt5863126	series	Last Chance U	Customer Wars, Death in Apartment 603: What Happened to Ellen Greenberg?, History 101 (+6 more)
tt0912343	series	Tim and Eric Awesome Show, Great Job!	Animal Control, Deep Fake Neighbour Wars, Human Resources (+6 more)
tt0364151	series	American Masters	Bring Me the Beauties: A Model Cult, Capturing Their Killer: The Girls on the High Bridge, Chimp Crazy (+6 more)
tt9698520	series	A Black Lady Sketch Show	Deep Fake Neighbour Wars, It's Always Sunny in Philadelphia, Life, Larry and the Pursuit of Unhappiness: an Almost History of America (+6 more)
tt12408718	series	Murder in a Small Town	A Good Girl's Guide to Murder, Cape Fear, Dexter: New Blood (+6 more)
tt6110648	series	The Purge	A Good Girl's Guide to Murder, Dexter: Original Sin, Dexter: Resurrection (+6 more)
tt0046600	series	Father Knows Best	Arrested Development, Impractical Jokers, Kevin Can Wait (+6 more)
tt0053525	series	My Three Sons	Arrested Development, Frasier, How I Met Your Father (+6 more)
tt2343157	series	Vanderpump Rules	90 Day Fiancé: Before the 90 Days, 90 Day Fiancé: Happily Ever After?, 90 Day Fiancé: Love in Paradise (+6 more)
tt2076566	series	Mysteries at the Museum	Bring Me the Beauties: A Model Cult, Capturing Their Killer: The Girls on the High Bridge, Chimp Crazy (+5 more)
tt4189570	series	See No Evil	Crime Scene: The Texas Killing Fields, Crime Scene: The Times Square Killer, Don't F**k with Cats: Hunting an Internet Killer (+5 more)
tt26777035	series	Quarterback	Bring Me the Beauties: A Model Cult, Capturing Their Killer: The Girls on the High Bridge, Chimp Crazy (+5 more)
